house_id,neighborhood,price,square_feet,num_bedrooms,num_bathrooms,house_age,garage_spaces,lot_size_acres,has_pool,recently_renovated,energy_rating,location_score,school_rating,crime_rate,distance_downtown_miles,sale_date,days_on_market
H06393,University District,238446,1511,2,2,23,1,0.11,FALSE,FALSE,C,7,6,5,2,1/1/22,26
H02493,University District,172545,1134,2,2,0,1,0.21,TRUE,FALSE,F,7,6,5,2,1/1/22,6
H00667,Hillcrest,672801,2580,4,4,5,1,0.15,FALSE,FALSE,E,9,9,2,5,1/1/22,29
H01217,Riverside,143109,800,2,2,2,0,0.16,FALSE,FALSE,F,8,8,4,3,1/1/22,18
H03858,Suburban Park,686552,3445,6,5,1,3,0.21,FALSE,FALSE,F,8,9,3,10,1/2/22,30
H07869,Oakwood,191077,1026,1,1,17,1,0.16,FALSE,FALSE,D,7,7,5,4,1/2/22,18
H04139,Lakeside,557143,2315,2,3,6,2,0.14,FALSE,FALSE,F,9,8,3,7,1/2/22,55
H06570,Maple Heights,367417,1837,4,4,2,2,0.08,TRUE,FALSE,F,6,6,6,8,1/2/22,3
H07522,Suburban Park,740672,3032,5,5,0,2,0.2,FALSE,TRUE,F,8,9,3,10,1/3/22,25
H03744,Downtown,559700,2762,3,3,29,2,0.29,FALSE,FALSE,D,9,7,6,0,1/3/22,33
H05824,Lakeside,511967,2020,4,4,15,2,0.14,FALSE,FALSE,E,9,8,3,7,1/4/22,10
H00614,Riverside,279850,1180,1,2,16,1,0.08,FALSE,FALSE,D,8,8,4,3,1/4/22,8
H06611,Old Town,272818,2453,4,4,4,1,0.21,FALSE,FALSE,D,5,5,7,6,1/4/22,4
H00702,Downtown,539992,2401,5,5,2,1,0.18,FALSE,FALSE,F,9,7,6,0,1/4/22,38
H04937,Green Valley,501879,2494,6,5,13,2,0.35,FALSE,FALSE,E,8,9,2,12,1/4/22,45
H06432,Green Valley,842746,4196,6,5,2,2,0.28,FALSE,FALSE,F,8,9,2,12,1/5/22,6
H05932,Oakwood,352075,1995,1,1,18,1,0.13,FALSE,FALSE,D,7,7,5,4,1/5/22,42
H00735,Oakwood,169522,806,1,2,13,1,0.11,FALSE,FALSE,D,7,7,5,4,1/5/22,5
H07612,Riverside,164931,800,2,2,2,0,0.14,TRUE,FALSE,E,8,8,4,3,1/5/22,13
H07371,Lakeside,1023854,4500,6,5,12,3,0.12,FALSE,FALSE,E,9,8,3,7,1/5/22,4
